accuracy,f1_score,precision,recall
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9988950276243094,1.0,0.9988864142538976,0.9994428969359331
1.0,1.0,1.0,1.0
0.9987129987129987,1.0,0.9987029831387808,0.9993510707332901
1.0,1.0,1.0,1.0
0.9985315712187959,1.0,0.9985185185185185,0.9992587101556709
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987515605493134,1.0,0.9987405541561712,0.9993698802772527
1.0,1.0,1.0,1.0
0.9988789237668162,1.0,0.9988713318284425,0.9994353472614342
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.996742671009772,1.0,0.9967105263157895,0.9983525535420099
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9968102073365231,1.0,0.9967741935483871,0.9983844911147012
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986013986013986,1.0,0.998589562764457,0.9992942836979535
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9972375690607734,1.0,0.9972144846796658,0.99860529986053
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985052316890882,1.0,0.9984917043740573,0.999245283018868
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9988235294117647,0.9988137603795967,1.0,0.9994065281899109
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985207100591716,1.0,0.9985052316890882,0.9992520568436799
1.0,1.0,1.0,1.0
0.998641304347826,1.0,0.9986301369863013,0.9993145990404386
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9987484355444305,1.0,0.9987389659520807,0.9993690851735015
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9984152139461173,1.0,0.9983974358974359,0.9991980753809142
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9986504723346828,1.0,0.998639455782313,0.9993192648059904
1.0,1.0,1.0,1.0
0.9984101748807631,1.0,0.9983948635634029,0.9991967871485944
0.9984076433121019,1.0,0.998389694041868,0.9991941982272361
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9965156794425087,1.0,0.9964726631393298,0.9982332155477032
0.9983844911147012,1.0,0.99836867862969,0.9991836734693877
0.9985974754558204,1.0,0.9985855728429985,0.9992922859164898
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9985754985754985,1.0,0.9985611510791367,0.9992800575953924
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
